GeoFips,GeoName,Year,Per Capita Personal Income
38000,North Dakota,1982,11141
39000,Ohio,1982,11349
40000,Oklahoma,1982,11907
41000,Oregon,1982,11260
42000,Pennsylvania,1982,11859
44000,Rhode Island,1982,11812
45000,South Carolina,1982,9320
46000,South Dakota,1982,10151
47000,Tennessee,1982,9696
48000,Texas,1982,12102
49000,Utah,1982,9669
50000,Vermont,1982,10600
51000,Virginia,1982,12535
53000,Washington,1982,12769
54000,West Virginia,1982,9268
55000,Wisconsin,1982,11517
56000,Wyoming,1982,13066
91000,New England,1982,12972
92000,Mideast,1982,13117
93000,Great Lakes,1982,11732
94000,Plains,1982,11549
95000,Southeast,1982,10407
96000,Southwest,1982,11844
97000,Rocky Mountain,1982,11664
98000,Far West,1982,13513
0,United States,1981,11300
1000,Alabama,1981,8796
2000,Alaska,1981,17091
4000,Arizona,1981,10764
5000,Arkansas,1981,8592
6000,California,1981,13158
8000,Colorado,1981,12386
9000,Connecticut,1981,13821
10000,Delaware,1981,11903
11000,District of Columbia,1981,14279
12000,Florida,1981,11354
13000,Georgia,1981,9600
15000,Hawaii *,1981,12711
16000,Idaho,1981,9600
17000,Illinois,1981,12136
18000,Indiana,1981,10292
19000,Iowa,1981,10894
20000,Kansas,1981,11342
21000,Kentucky,1981,9056
22000,Louisiana,1981,10059
23000,Maine,1981,9401
24000,Maryland,1981,12680
25000,Massachusetts,1981,11873
26000,Michigan,1981,10995
27000,Minnesota,1981,11321
28000,Mississippi,1981,8008
29000,Missouri,1981,10445
30000,Montana,1981,10303
31000,Nebraska,1981,10859
32000,Nevada,1981,12991
33000,New Hampshire,1981,11229
34000,New Jersey,1981,13131
35000,New Mexico,1981,9604
36000,New York,1981,12277
37000,North Carolina,1981,9317
38000,North Dakota,1981,10462
39000,Ohio,1981,10813
40000,Oklahoma,1981,11047
41000,Oregon,1981,10933
42000,Pennsylvania,1981,11088
44000,Rhode Island,1981,10980
45000,South Carolina,1981,8845
46000,South Dakota,1981,9646
47000,Tennessee,1981,9159
48000,Texas,1981,11413
49000,Utah,1981,9167
50000,Vermont,1981,9832
51000,Virginia,1981,11700
53000,Washington,1981,12133
54000,West Virginia,1981,8726
55000,Wisconsin,1981,10920
56000,Wyoming,1981,12812
91000,New England,1981,11936
92000,Mideast,1981,12159
93000,Great Lakes,1981,11160
94000,Plains,1981,10860
95000,Southeast,1981,9823
96000,Southwest,1981,11169
97000,Rocky Mountain,1981,11050
98000,Far West,1981,12883
0,United States,1983,12698
1000,Alabama,1983,9906
2000,Alaska,1983,19478
4000,Arizona,1983,11941
5000,Arkansas,1983,9513
6000,California,1983,14582
8000,Colorado,1983,13944
9000,Connecticut,1983,15798
10000,Delaware,1983,13431
11000,District of Columbia,1983,16117
12000,Florida,1983,12846
13000,Georgia,1983,11064
15000,Hawaii *,1983,14262
16000,Idaho,1983,10795
17000,Illinois,1983,13412
18000,Indiana,1983,11243
19000,Iowa,1983,11548
20000,Kansas,1983,12643
21000,Kentucky,1983,9949
22000,Louisiana,1983,11017
23000,Maine,1983,10896
24000,Maryland,1983,14557
25000,Massachusetts,1983,14044
26000,Michigan,1983,12332
27000,Minnesota,1983,12696
28000,Mississippi,1983,8744
29000,Missouri,1983,11885
30000,Montana,1983,11151
31000,Nebraska,1983,12022
32000,Nevada,1983,13892
33000,New Hampshire,1983,13269
34000,New Jersey,1983,15190
35000,New Mexico,1983,10819
36000,New York,1983,14286
37000,North Carolina,1983,10637
38000,North Dakota,1983,11573
39000,Ohio,1983,12026
40000,Oklahoma,1983,11876
41000,Oregon,1983,12026
42000,Pennsylvania,1983,12433
44000,Rhode Island,1983,12741
45000,South Carolina,1983,10033
46000,South Dakota,1983,10491
47000,Tennessee,1983,10313
48000,Texas,1983,12575
49000,Utah,1983,10116
50000,Vermont,1983,11289
51000,Virginia,1983,13341
53000,Washington,1983,13553
54000,West Virginia,1983,9537
55000,Wisconsin,1983,12114
56000,Wyoming,1983,12870
91000,New England,1983,13925
92000,Mideast,1983,13972
93000,Great Lakes,1983,12382
94000,Plains,1983,12073
95000,Southeast,1983,11083
96000,Southwest,1983,12292
97000,Rocky Mountain,1983,12235
98000,Far West,1983,14301
0,United States,1984,13906
1000,Alabama,1984,10848
2000,Alaska,1984,19701
4000,Arizona,1984,13060
5000,Arkansas,1984,10543
6000,California,1984,15895
8000,Colorado,1984,15030
9000,Connecticut,1984,17572
10000,Delaware,1984,14671
11000,District of Columbia,1984,17566
12000,Florida,1984,13939
13000,Georgia,1984,12316
15000,Hawaii *,1984,15052
16000,Idaho,1984,11399
17000,Illinois,1984,14784
18000,Indiana,1984,12460
19000,Iowa,1984,12924
20000,Kansas,1984,13827
21000,Kentucky,1984,11111
22000,Louisiana,1984,11704
23000,Maine,1984,11930
24000,Maryland,1984,15959
25000,Massachusetts,1984,15739
26000,Michigan,1984,13612
27000,Minnesota,1984,14351
28000,Mississippi,1984,9514
29000,Missouri,1984,13103
30000,Montana,1984,11698
31000,Nebraska,1984,13354
32000,Nevada,1984,14760
33000,New Hampshire,1984,14717
34000,New Jersey,1984,16708
35000,New Mexico,1984,11626
36000,New York,1984,15749
37000,North Carolina,1984,11863
38000,North Dakota,1984,12429
39000,Ohio,1984,13286
40000,Oklahoma,1984,12761
41000,Oregon,1984,12970
42000,Pennsylvania,1984,13455
44000,Rhode Island,1984,13911
45000,South Carolina,1984,11059
46000,South Dakota,1984,11864
47000,Tennessee,1984,11411
48000,Texas,1984,13546
49000,Utah,1984,10984
50000,Vermont,1984,12335
51000,Virginia,1984,14642
53000,Washington,1984,14373
54000,West Virginia,1984,10344
55000,Wisconsin,1984,13285
56000,Wyoming,1984,13581
91000,New England,1984,15492
92000,Mideast,1984,15316
93000,Great Lakes,1984,13661
94000,Plains,1984,13420
95000,Southeast,1984,12169
96000,Southwest,1984,13260
97000,Rocky Mountain,1984,13113
98000,Far West,1984,15488
0,United States,1985,14755
1000,Alabama,1985,11604
2000,Alaska,1985,20593
4000,Arizona,1985,14000
5000,Arkansas,1985,11165
6000,California,1985,16795
8000,Colorado,1985,15733
9000,Connecticut,1985,18743
10000,Delaware,1985,15743
11000,District of Columbia,1985,18567
12000,Florida,1985,14829
13000,Georgia,1985,13196
15000,Hawaii *,1985,15824
16000,Idaho,1985,12004
17000,Illinois,1985,15545
18000,Indiana,1985,13154
19000,Iowa,1985,13505
20000,Kansas,1985,14524
21000,Kentucky,1985,11588
22000,Louisiana,1985,12166
23000,Maine,1985,12807
24000,Maryland,1985,17109
25000,Massachusetts,1985,16893
26000,Michigan,1985,14720
27000,Minnesota,1985,15143
28000,Mississippi,1985,9976
29000,Missouri,1985,13948
30000,Montana,1985,11843
31000,Nebraska,1985,14103
32000,Nevada,1985,15561
33000,New Hampshire,1985,15894
34000,New Jersey,1985,17788
35000,New Mexico,1985,12392
36000,New York,1985,16815
37000,North Carolina,1985,12635
38000,North Dakota,1985,12912
39000,Ohio,1985,14106
40000,Oklahoma,1985,13330
41000,Oregon,1985,13590
42000,Pennsylvania,1985,14308
44000,Rhode Island,1985,14876
45000,South Carolina,1985,11719
46000,South Dakota,1985,12143
47000,Tennessee,1985,12132
48000,Texas,1985,14353
49000,Utah,1985,11607
50000,Vermont,1985,13284
51000,Virginia,1985,15627
53000,Washington,1985,15085
54000,West Virginia,1985,10890
55000,Wisconsin,1985,13960
56000,Wyoming,1985,14330
91000,New England,1985,16603
92000,Mideast,1985,16338
93000,Great Lakes,1985,14494
94000,Plains,1985,14145
95000,Southeast,1985,12925
96000,Southwest,1985,14051
97000,Rocky Mountain,1985,13726
98000,Far West,1985,16344
0,United States,1987,16289
1000,Alabama,1987,12864
2000,Alaska,1987,19688
4000,Arizona,1987,15280
5000,Arkansas,1987,12139
6000,California,1987,18482
8000,Colorado,1987,16685
9000,Connecticut,1987,21693
10000,Delaware,1987,17575
11000,District of Columbia,1987,20534
12000,Florida,1987,16436
13000,Georgia,1987,14888
15000,Hawaii *,1987,17435
16000,Idaho,1987,12918
17000,Illinois,1987,17310
18000,Indiana,1987,14664
19000,Iowa,1987,14954
20000,Kansas,1987,15805
21000,Kentucky,1987,12624
22000,Louisiana,1987,12415
23000,Maine,1987,14766
24000,Maryland,1987,19276
25000,Massachusetts,1987,19552
26000,Michigan,1987,16061
27000,Minnesota,1987,16878
28000,Mississippi,1987,10942
29000,Missouri,1987,15296
30000,Montana,1987,12916
31000,Nebraska,1987,15362
32000,Nevada,1987,17075
33000,New Hampshire,1987,18365
34000,New Jersey,1987,20251
35000,New Mexico,1987,13059
36000,New York,1987,19064
37000,North Carolina,1987,14349
38000,North Dakota,1987,13814
39000,Ohio,1987,15436
40000,Oklahoma,1987,13630
41000,Oregon,1987,14881
42000,Pennsylvania,1987,15885
44000,Rhode Island,1987,16721
45000,South Carolina,1987,13126
46000,South Dakota,1987,13413
47000,Tennessee,1987,13787
48000,Texas,1987,14653
49000,Utah,1987,12511
50000,Vermont,1987,15210
51000,Virginia,1987,17542
53000,Washington,1987,16556
